dato,applitenskjerm_tilsette,applitenskjerm_studentar,applitenskjerm_assistentar,applitenskjerm_observatørar,appstorskjerm_tilsette,appstorskjerm_studentar,appstorskjerm_assistentar,appstorskjerm_observatørar,nettlesarlitenskjerm_tilsette,nettlesarlitenskjerm_studentar,nettlesarlitenskjerm_assistentar,nettlesarlitenskjerm_observatørar,nettlesarstorskjerm_tilsette,nettlesarstorskjerm_studentar,nettlesarstorskjerm_assistentar,nettlesarstorskjerm_observatørar
2024-11-08,2533,103881,1292,1901,3,14301,398,103,1027,18765,229,799,116034,374326,11557,25078
2024-11-09,929,41033,500,802,6,5141,48,44,206,6203,89,63,22383,155594,5437,4311
2024-11-10,1965,84826,1464,1935,35,8104,126,55,640,13271,177,273,42990,242399,9777,7844
2024-11-11,2986,176312,2360,3822,29,24036,911,274,977,35436,509,699,167128,567075,17640,32999
2024-11-12,3089,143656,2473,3036,68,22131,571,185,778,28603,471,518,145322,570093,15492,33754
2024-11-13,3345,142223,2022,2617,79,18536,634,302,951,26244,406,540,143261,541837,15736,33682
2024-11-14,3280,156344,2161,1845,161,19401,1117,96,1323,28673,385,536,137469,520304,12887,30394
2024-11-15,2554,106145,1783,1906,13,13466,386,117,1021,19344,245,348,112617,387274,11525,22662
2024-11-16,1716,42569,666,1055,59,6352,193,0,360,6371,130,251,19207,174675,4878,5750
2024-11-17,2314,74173,853,1342,166,8329,52,3,571,11928,105,187,44506,261103,8219,9532
2024-11-18,2881,144584,2324,3143,305,18982,455,413,1631,28845,451,502,155853,558985,14590,33427
2024-11-19,3506,127167,1520,3166,129,20848,325,109,1373,26598,318,544,143032,578941,12118,32648
2024-11-20,2711,114627,2089,2038,7,19088,565,132,1223,23015,339,492,127685,555297,12826,29038
2024-11-21,2280,103424,1125,2975,3,14075,367,105,625,19952,177,803,117797,505843,10740,26333
2024-11-22,1966,77614,1023,1270,7,12842,224,28,616,15596,230,377,88547,357957,8827,19459
2024-11-23,1141,33071,587,555,0,5263,231,6,518,5988,87,159,11115,204757,4274,3912
2024-11-24,1589,57762,612,1890,49,9905,131,137,292,10954,117,331,28588,302307,7483,8337
2024-11-25,4230,119699,1754,3303,307,17186,268,394,951,23694,369,731,129981,610859,13676,30823
2024-11-26,2731,102791,1560,2533,63,16326,175,421,1027,21566,207,421,115319,561428,14424,26219
2024-11-27,2886,100324,1394,2185,75,14529,268,388,516,19763,229,393,100749,511539,11605,25006
2024-11-28,2866,101352,1205,2587,115,16371,18,66,678,20737,239,587,95415,523373,9649,27891
2024-11-29,2673,64580,782,1208,5,9335,192,27,1059,13962,208,186,77777,400619,8397,20100
2024-11-30,1089,30520,807,587,10,6307,71,40,265,6422,77,43,13372,257341,4317,4905
2024-12-01,1631,48286,588,1544,131,8931,462,20,438,10334,146,274,24937,334169,8652,7598
2024-12-02,3323,109023,1378,1931,0,15772,605,224,737,22694,298,381,113013,570016,15283,30313
2024-12-03,2161,85056,1589,2151,94,12879,359,318,504,16110,370,366,113301,558534,17207,30933
2024-12-04,2683,81830,1366,1935,41,13442,141,59,558,17316,160,506,89905,463761,11864,26901
2024-12-05,2323,78343,1428,2044,51,12291,260,371,410,14274,231,377,80523,504231,10571,26598
2024-12-06,3,972,131,27,0,156,0,0,1,139,3,1,586,7491,19,390
